support,itemsets
0.2572909915748542,frozenset({'spec_otology'})
0.25210628645495786,"frozenset({'reason_treatment', 'spec_rhinology'})"
0.24497731691510044,"frozenset({'level_haut', 'reason_treatment', 'age_adulte'})"
0.24432922877511343,"frozenset({'uth_oui', 'spec_rhinology'})"
0.24432922877511343,"frozenset({'level_haut', 'target_inappropriate', 'attendance_first'})"
0.24432922877511343,"frozenset({'level_haut', 'uth_oui', 'spec_rhinology'})"
0.24303305249513935,"frozenset({'level_haut', 'uth_oui', 'attendance_review', 'reason_treatment'})"
0.24303305249513935,"frozenset({'uth_oui', 'attendance_review', 'reason_treatment'})"
0.24173687621516526,"frozenset({'target_inappropriate', 'uth_oui', 'attendance_first'})"
0.24108878807517822,"frozenset({'level_haut', 'target_inappropriate', 'uth_oui', 'attendance_first'})"
0.24044069993519118,"frozenset({'level_haut', 'uth_oui', 'age_adulte'})"
0.24044069993519118,"frozenset({'uth_oui', 'age_adulte'})"
0.23979261179520414,"frozenset({'uth_oui', 'spec_head_neck'})"
0.23979261179520414,"frozenset({'reason_treatment', 'uth_non'})"
0.2391445236552171,"frozenset({'level_haut', 'uth_oui', 'spec_head_neck'})"
0.23849643551523006,"frozenset({'target_inappropriate', 'reason_treatment', 'attendance_first'})"
0.23071937783538563,"frozenset({'reason_treatment', 'spec_otology'})"
0.22488658457550226,"frozenset({'level_haut', 'spec_otology'})"
0.22164614387556708,"frozenset({'level_haut', 'reason_treatment', 'spec_head_neck'})"
0.21451717433570966,"frozenset({'level_haut', 'reason_treatment', 'target_appropriate'})"
0.21451717433570966,"frozenset({'level_haut', 'reason_treatment', 'spec_rhinology'})"
0.21322099805573558,"frozenset({'attendance_first', 'age_adulte'})"
0.20609202851587816,"frozenset({'target_inappropriate', 'attendance_review'})"
0.20479585223590407,"frozenset({'uth_oui', 'target_appropriate', 'reason_treatment'})"
0.20479585223590407,"frozenset({'level_haut', 'uth_oui', 'target_appropriate', 'reason_treatment'})"
0.2015554115359689,"frozenset({'level_haut', 'reason_treatment', 'spec_otology'})"
0.19961114711600778,"frozenset({'level_haut', 'uth_oui', 'age_adulte', 'reason_treatment'})"
0.19961114711600778,"frozenset({'uth_oui', 'age_adulte', 'reason_treatment'})"
0.19896305897602073,"frozenset({'target_appropriate', 'attendance_first'})"
0.1983149708360337,"frozenset({'level_haut', 'target_inappropriate', 'reason_treatment', 'attendance_first'})"
0.19572261827608556,"frozenset({'target_inappropriate', 'uth_oui', 'attendance_first', 'reason_treatment'})"
0.19572261827608556,"frozenset({'reason_treatment', 'level_haut', 'target_inappropriate', 'uth_oui', 'attendance_first'})"
0.19572261827608556,"frozenset({'target_inappropriate', 'spec_head_neck'})"
0.1879455605962411,"frozenset({'attendance_first', 'spec_head_neck'})"
0.18729747245625405,"frozenset({'attendance_review', 'target_appropriate'})"
0.18600129617627997,"frozenset({'level_haut', 'uth_oui', 'spec_otology'})"
0.18600129617627997,frozenset({'age_enfant'})
0.18600129617627997,"frozenset({'uth_oui', 'spec_otology'})"
0.18211276733635776,"frozenset({'level_haut', 'attendance_first', 'age_adulte'})"
0.18081659105638367,"frozenset({'uth_oui', 'spec_head_neck', 'reason_treatment'})"
0.18081659105638367,"frozenset({'level_haut', 'uth_oui', 'spec_head_neck', 'reason_treatment'})"
0.18016850291639663,"frozenset({'target_inappropriate', 'age_adulte'})"
0.17887232663642255,"frozenset({'reason_treatment', 'attendance_first', 'age_adulte'})"
0.1782242384964355,"frozenset({'attendance_first', 'spec_rhinology'})"
0.1762799740764744,"frozenset({'target_inappropriate', 'reason_treatment', 'attendance_review'})"
0.1762799740764744,"frozenset({'attendance_first', 'uth_non'})"
0.1743357096565133,"frozenset({'uth_oui', 'spec_rhinology', 'reason_treatment'})"
0.1743357096565133,"frozenset({'level_haut', 'uth_oui', 'spec_rhinology', 'reason_treatment'})"
0.17239144523655217,"frozenset({'level_haut', 'target_inappropriate', 'attendance_review'})"
0.1678548282566429,"frozenset({'attendance_first', 'spec_otology'})"
0.1678548282566429,"frozenset({'target_inappropriate', 'uth_oui', 'attendance_review'})"
0.1678548282566429,"frozenset({'level_haut', 'target_inappropriate', 'uth_oui', 'attendance_review'})"
0.16720674011665587,"frozenset({'target_inappropriate', 'spec_rhinology'})"
0.1659105638366818,frozenset({'age_tout_petit'})
0.16526247569669475,"frozenset({'uth_oui', 'spec_otology', 'reason_treatment'})"
0.16526247569669475,"frozenset({'level_haut', 'uth_oui', 'spec_otology', 'reason_treatment'})"
0.1646143875567077,"frozenset({'attendance_review', 'spec_rhinology'})"
0.16137394685677253,"frozenset({'level_haut', 'target_appropriate', 'attendance_first'})"
0.1607258587167855,"frozenset({'level_haut', 'target_inappropriate', 'spec_head_neck'})"
0.1594296824368114,"frozenset({'target_inappropriate', 'uth_oui', 'spec_head_neck'})"
0.15878159429682437,"frozenset({'level_haut', 'target_inappropriate', 'uth_oui', 'spec_head_neck'})"
0.15878159429682437,"frozenset({'attendance_review', 'spec_head_neck'})"
0.15813350615683733,"frozenset({'target_inappropriate', 'reason_treatment', 'spec_head_neck'})"
0.1561892417368762,"frozenset({'target_inappropriate', 'reason_treatment', 'age_adulte'})"
0.1542449773169151,"frozenset({'level_haut', 'reason_treatment', 'attendance_first', 'age_adulte'})"
0.15359688917692807,"frozenset({'level_haut', 'target_inappropriate', 'age_adulte'})"
0.15359688917692807,"frozenset({'level_haut', 'age_enfant'})"
0.15294880103694103,"frozenset({'level_haut', 'uth_oui', 'attendance_first', 'target_appropriate'})"
0.15294880103694103,"frozenset({'level_haut', 'attendance_first', 'spec_head_neck'})"
0.15294880103694103,"frozenset({'uth_oui', 'attendance_first', 'target_appropriate'})"
0.15165262475696695,"frozenset({'level_haut', 'attendance_first', 'spec_rhinology'})"
0.15035644847699287,"frozenset({'uth_oui', 'attendance_first', 'age_adulte'})"
0.15035644847699287,"frozenset({'level_haut', 'uth_oui', 'attendance_first', 'age_adulte'})"
0.15035644847699287,"frozenset({'level_haut', 'attendance_review', 'target_appropriate'})"
0.14970836033700582,"frozenset({'target_inappropriate', 'uth_oui', 'age_adulte'})"
0.14970836033700582,"frozenset({'level_haut', 'target_inappropriate', 'uth_oui', 'age_adulte'})"
0.14906027219701878,"frozenset({'level_haut', 'target_inappropriate', 'reason_treatment', 'attendance_review'})"
0.14906027219701878,"frozenset({'reason_treatment', 'attendance_first', 'spec_otology'})"
0.14776409591704473,"frozenset({'reason_treatment', 'attendance_first', 'uth_non'})"
0.1471160077770577,frozenset({'age_adulte_mature'})
0.14517174335709657,"frozenset({'level_haut', 'attendance_first', 'spec_otology'})"
0.14452365521710953,"frozenset({'reason_treatment', 'attendance_first', 'spec_head_neck'})"
0.14452365521710953,"frozenset({'reason_treatment', 'attendance_review', 'level_haut', 'target_inappropriate', 'uth_oui'})"
0.14452365521710953,"frozenset({'target_inappropriate', 'uth_oui', 'attendance_review', 'reason_treatment'})"
0.14322747893713544,"frozenset({'uth_oui', 'attendance_review', 'target_appropriate'})"
0.14322747893713544,"frozenset({'level_haut', 'uth_oui', 'attendance_review', 'target_appropriate'})"
0.14128321451717435,"frozenset({'level_haut', 'target_inappropriate', 'spec_rhinology'})"
0.1406351263771873,"frozenset({'target_appropriate', 'spec_rhinology'})"
0.13869086195722619,"frozenset({'level_haut', 'target_inappropriate', 'uth_oui', 'spec_rhinology'})"
0.13869086195722619,"frozenset({'target_inappropriate', 'uth_oui', 'spec_rhinology'})"
0.13869086195722619,"frozenset({'target_inappropriate', 'reason_treatment', 'spec_rhinology'})"
0.13674659753726506,"frozenset({'level_haut', 'uth_oui', 'age_enfant'})"
0.13674659753726506,"frozenset({'age_tout_petit', 'level_haut'})"
0.13674659753726506,"frozenset({'uth_oui', 'age_enfant'})"
0.13609850939727802,"frozenset({'level_haut', 'attendance_review', 'spec_rhinology'})"
0.13609850939727802,"frozenset({'reason_treatment', 'attendance_first', 'target_appropriate'})"
0.13545042125729098,"frozenset({'level_haut', 'target_inappropriate', 'reason_treatment', 'age_adulte'})"
0.1322099805573558,"frozenset({'level_haut', 'uth_non'})"
0.1322099805573558,"frozenset({'reason_treatment', 'age_adulte', 'level_haut', 'target_inappropriate', 'uth_oui'})"
0.1322099805573558,"frozenset({'target_inappropriate', 'uth_oui', 'age_adulte', 'reason_treatment'})"
0.13156189241736876,"frozenset({'level_haut', 'target_inappropriate', 'reason_treatment', 'spec_head_neck'})"
0.13156189241736876,"frozenset({'reason_treatment', 'attendance_first', 'spec_rhinology'})"
0.12961762799740764,"frozenset({'target_inappropriate', 'uth_oui', 'spec_head_neck', 'reason_treatment'})"
0.12961762799740764,"frozenset({'reason_treatment', 'spec_head_neck', 'level_haut', 'target_inappropriate', 'uth_oui'})"
0.12961762799740764,"frozenset({'reason_treatment', 'age_enfant'})"
0.12767336357744652,"frozenset({'level_haut', 'reason_treatment', 'attendance_first', 'spec_otology'})"
0.12767336357744652,"frozenset({'level_haut', 'attendance_review', 'spec_head_neck'})"
0.1270252754374595,"frozenset({'reason_treatment', 'attendance_review', 'target_appropriate'})"
0.12572909915748542,frozenset({'level_bas'})
0.12508101101749838,"frozenset({'level_bas', 'uth_non'})"
0.1237848347375243,"frozenset({'uth_oui', 'attendance_first', 'spec_head_neck'})"
0.12313674659753726,"frozenset({'level_haut', 'uth_oui', 'attendance_first', 'spec_rhinology'})"
0.12313674659753726,"frozenset({'level_haut', 'reason_treatment', 'uth_non'})"
0.12313674659753726,"frozenset({'uth_oui', 'attendance_first', 'spec_rhinology'})"
0.12313674659753726,"frozenset({'reason_treatment', 'age_adulte', 'level_haut', 'uth_oui', 'attendance_first'})"
0.12313674659753726,"frozenset({'uth_oui', 'attendance_first', 'age_adulte', 'reason_treatment'})"
0.12313674659753726,"frozenset({'level_haut', 'uth_oui', 'attendance_first', 'spec_head_neck'})"
0.12248865845755022,"frozenset({'age_adulte_mature', 'reason_treatment'})"
0.12248865845755022,"frozenset({'level_haut', 'age_adulte_mature'})"
0.1218405703175632,"frozenset({'reason_treatment', 'attendance_review', 'spec_head_neck'})"
0.1218405703175632,"frozenset({'target_appropriate', 'spec_otology'})"
0.12119248217757615,"frozenset({'attendance_review', 'age_adulte'})"
0.12119248217757615,"frozenset({'level_haut', 'uth_oui', 'attendance_first', 'spec_otology'})"
0.12119248217757615,"frozenset({'uth_oui', 'attendance_first', 'spec_otology'})"
0.12054439403758911,"frozenset({'level_haut', 'uth_oui', 'attendance_review', 'spec_rhinology'})"
0.12054439403758911,"frozenset({'uth_oui', 'attendance_review', 'spec_rhinology'})"
0.12054439403758911,"frozenset({'reason_treatment', 'attendance_review', 'spec_rhinology'})"
0.11989630589760207,"frozenset({'age_tout_petit', 'uth_oui'})"
0.11989630589760207,"frozenset({'level_haut', 'reason_treatment', 'attendance_first', 'spec_head_neck'})"
0.11989630589760207,"frozenset({'age_tout_petit', 'uth_oui', 'level_haut'})"
0.118600129617628,"frozenset({'level_haut', 'target_inappropriate', 'reason_treatment', 'spec_rhinology'})"
0.11795204147764096,"frozenset({'age_tout_petit', 'reason_treatment'})"
0.11795204147764096,"frozenset({'target_appropriate', 'spec_head_neck'})"
0.11730395333765392,"frozenset({'spec_otology', 'age_adulte'})"
0.11600777705767984,"frozenset({'target_inappropriate', 'uth_oui', 'spec_rhinology', 'reason_treatment'})"
0.11600777705767984,"frozenset({'reason_treatment', 'spec_rhinology', 'level_haut', 'target_inappropriate', 'uth_oui'})"
0.11600777705767984,"frozenset({'target_inappropriate', 'attendance_first', 'age_adulte'})"
0.11600777705767984,"frozenset({'attendance_review', 'uth_non'})"
0.11535968891769281,"frozenset({'target_appropriate', 'age_adulte'})"
0.11471160077770577,"frozenset({'level_haut', 'reason_treatment', 'attendance_first', 'spec_rhinology'})"
0.11471160077770577,"frozenset({'uth_oui', 'attendance_review', 'spec_head_neck'})"
0.11471160077770577,"frozenset({'level_haut', 'uth_oui', 'attendance_review', 'spec_head_neck'})"
0.11211924821775761,"frozenset({'age_adulte', 'spec_head_neck'})"
0.11147116007777058,"frozenset({'level_haut', 'reason_treatment', 'attendance_first', 'target_appropriate'})"
0.11147116007777058,"frozenset({'level_haut', 'target_appropriate', 'spec_rhinology'})"
0.10952689565780946,frozenset({'target_not_applicable'})
0.10952689565780946,"frozenset({'uth_non', 'target_not_applicable'})"
0.10887880751782242,"frozenset({'level_haut', 'target_not_applicable', 'uth_non'})"
0.10887880751782242,"frozenset({'level_haut', 'target_not_applicable'})"
0.10887880751782242,"frozenset({'target_inappropriate', 'attendance_first', 'spec_head_neck'})"
0.10887880751782242,"frozenset({'reason_treatment', 'spec_otology', 'target_appropriate'})"
0.10823071937783539,"frozenset({'spec_head_neck', 'uth_non'})"
0.10823071937783539,"frozenset({'level_haut', 'target_appropriate', 'spec_otology'})"
0.10693454309786131,"frozenset({'reason_treatment', 'uth_non', 'target_not_applicable'})"
0.10693454309786131,"frozenset({'reason_treatment', 'target_not_applicable'})"
0.10693454309786131,"frozenset({'reason_treatment', 'spec_otology', 'age_adulte'})"
0.10693454309786131,"frozenset({'level_haut', 'reason_treatment', 'age_enfant'})"
0.10628645495787427,"frozenset({'reason_treatment', 'target_appropriate', 'level_haut', 'uth_oui', 'attendance_first'})"
0.10628645495787427,"frozenset({'level_haut', 'reason_treatment', 'target_not_applicable'})"
0.10628645495787427,"frozenset({'uth_oui', 'attendance_first', 'target_appropriate', 'reason_treatment'})"
0.10628645495787427,"frozenset({'level_haut', 'reason_treatment', 'target_not_applicable', 'uth_non'})"
0.10563836681788723,"frozenset({'uth_oui', 'spec_otology', 'target_appropriate'})"
0.10563836681788723,"frozenset({'level_haut', 'uth_oui', 'target_appropriate', 'spec_rhinology'})"
0.10563836681788723,"frozenset({'level_haut', 'uth_oui', 'spec_otology', 'target_appropriate'})"
0.10563836681788723,"frozenset({'uth_oui', 'target_appropriate', 'spec_rhinology'})"
0.10434219053791316,"frozenset({'level_haut', 'attendance_review', 'age_adulte'})"
0.10434219053791316,"frozenset({'uth_oui', 'attendance_first', 'spec_otology', 'reason_treatment'})"
0.10434219053791316,"frozenset({'level_haut', 'age_adulte_mature', 'reason_treatment'})"
0.10434219053791316,"frozenset({'reason_treatment', 'spec_otology', 'level_haut', 'uth_oui', 'attendance_first'})"
0.10304601425793908,"frozenset({'level_haut', 'spec_otology', 'age_adulte'})"
0.10304601425793908,"frozenset({'level_haut', 'reason_treatment', 'attendance_review', 'target_appropriate'})"
0.10110174983797797,"frozenset({'target_inappropriate', 'spec_otology'})"
0.10110174983797797,"frozenset({'reason_treatment', 'attendance_review', 'age_adulte'})"
0.10045366169799093,"frozenset({'level_haut', 'reason_treatment', 'attendance_review', 'spec_head_neck'})"
